player_id,shot,goal,goal_allowed,assist,pass,pass_accurate,tackle,accel,counter,opportunity,keypass,own_goal,interception,smart,clearance,cross,air_duel,air_duel_won,gk_leave_line,gk_save_attempt,throw,corner,min,shot_per_90,goal_per_90,goal_allowed_per_90,assist_per_90,pass_per_90,pass_accurate_per_90,tackle_per_90,accel_per_90,counter_per_90,opportunity_per_90,keypass_per_90,own_goal_per_90,interception_per_90,smart_per_90,clearance_per_90,cross_per_90,air_duel_per_90,air_duel_won_per_90,gk_leave_line_per_90,gk_save_attempt_per_90,throw_per_90,corner_per_90
12,0,0,0,0,64,49,0,0,2,0,0,0,10,0,11,0,12,6,0,0,0,0,180.0,-0.08414063239773663,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541485542,-0.21332437342126526,-0.07280352572543294,-0.05939138710491018,-0.15556349186177276,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,-0.21125303295028416,0.0,-0.17232186750959197,-0.059391387120635755,-0.2113855852102672,-0.19197469172243056,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
36,5,0,0,1,442,405,1,2,6,4,0,0,30,0,16,2,6,2,0,0,3,0,540.0,-0.08414063238665423,-0.30542549849760964,-0.21747112062125423,0.3577085748520212,-0.21656160541195368,-0.21332437341774196,-0.07280352572287584,-0.05939138709865208,-0.15556349186177276,-0.0941554471470041,-0.04195906792231794,-0.0419590679150024,-0.21125303295028416,0.0,-0.1723218675177151,-0.05939138711437766,-0.2113855852179478,-0.1919746917278248,-0.2073107736272674,-0.20084346800495026,-0.041959067947088736,-0.33928855933239493
48,2,1,0,0,307,279,9,1,5,2,0,0,24,0,15,4,21,12,0,0,32,0,540.0,-0.08414063239330367,0.10326737127593157,-0.21747112062125423,-0.24778552081913527,-0.21656160541352062,-0.21332437341946264,-0.07280352570241895,-0.059391387101781136,-0.15556349186226948,-0.0941554471509726,-0.04195906792231794,-0.0419590679150024,-0.2112530329511571,0.0,-0.17232186751819295,-0.05939138710811957,-0.2113855852141075,-0.1919746917244534,-0.2073107736272674,-0.20084346800495026,-0.04195906781887271,-0.33928855933239493
54,8,0,0,1,117,95,0,5,15,5,2,0,9,0,2,8,4,4,0,0,0,14,300.0,-0.0841406323658193,-0.30542549849760964,-0.21747112062125423,0.842103851388785,-0.2165616054146395,-0.21332437342093752,-0.07280352572543294,-0.059391387076748764,-0.15556349185134163,-0.09415544713708292,-0.04195906790640147,-0.0419590679150024,-0.21125303295229192,0.0,-0.17232186752364023,-0.059391387075577486,-0.21138558521764056,-0.19197469172607168,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,2.8711670480144966
93,3,0,0,0,40,32,0,2,4,1,2,0,6,0,3,2,5,5,0,0,0,4,153.0,-0.084140632374268,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.2165616054154453,-0.21332437342173036,-0.07280352572543294,-0.059391387082822794,-0.15556349185774054,-0.09415544714793787,-0.04195906789110917,-0.0419590679150024,-0.2112530329515679,0.0,-0.17232186752030101,-0.05939138709854836,-0.21138558521496595,-0.19197469172254955,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,1.459286010609265
122,6,1,0,1,129,99,0,1,14,6,5,0,7,0,0,17,1,0,0,0,3,3,298.0,-0.08414063237363797,0.43515889639393085,-0.21747112062125423,0.84941854516199,-0.2165616054143707,-0.21332437342082286,-0.07280352572543294,-0.0593913870992401,-0.1555634918521517,-0.09415544713336747,-0.0419590678822597,-0.0419590679150024,-0.21125303295280337,0.0,-0.1723218675253604,-0.059391387024244326,-0.21138558521902,-0.1919746917284991,-0.2073107736272674,-0.20084346800495026,-0.041959067936317526,0.35328335979804504
123,3,1,0,1,84,60,0,1,10,4,3,0,7,0,3,4,50,21,0,0,0,0,399.0,-0.08414063238873738,0.24769267112068066,-0.21747112062125423,0.5716801725703462,-0.2165616054157644,-0.21332437342216382,-0.07280352572543294,-0.05939138710067538,-0.15556349185803056,-0.09415544714419932,-0.04195906790436703,-0.0419590679150024,-0.21125303295327053,0.0,-0.17232186752342035,-0.059391387103696555,-0.21138558520215925,-0.19197469171891718,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
142,1,0,0,0,105,95,3,0,4,0,0,0,9,0,4,2,12,5,0,0,1,0,266.0,-0.08414063239323702,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541460984,-0.213324373420639,-0.07280352570985957,-0.05939138710491018,-0.15556349186071955,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,-0.21125303295199066,0.0,-0.17232186752148027,-0.059391387107931355,-0.21138558521324705,-0.19197469172507697,-0.2073107736272674,-0.20084346800495026,-0.041959067951377015,-0.33928855933239493
151,1,0,0,0,7,3,0,0,3,1,1,0,2,0,1,1,2,0,0,0,0,0,37.0,-0.08414063236538798,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541589817,-0.2133243734226748,-0.07280352572543294,-0.05939138710491018,-0.15556349184300478,-0.09415544712598191,-0.0419590678577917,-0.0419590679150024,-0.21125303295040213,0.0,-0.17232186751838666,-0.059391387074968584,-0.2113855852120109,-0.1919746917284991,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
261,3,1,0,1,170,146,0,4,7,3,3,0,12,0,1,14,15,7,0,0,19,7,327.0,-0.0841406323867559,0.36948015800907436,-0.21747112062125423,0.7521129857936631,-0.21656160541382546,-0.2133243734199802,-0.07280352572543294,-0.05939138708424126,-0.15556349185901117,-0.09415544714511088,-0.04195906790041454,-0.0419590679150024,-0.21125303295176576,0.0,-0.17232186752457135,-0.059391387048294504,-0.21138558521314213,-0.19197469172460185,-0.2073107736272674,-0.20084346800495026,-0.04195906782163091,1.1333974990836506
